Subject_ID,FINAL_QC
ABIDE_UM_1_50338,1
ABIDE_UM_1_50339,1
ABIDE_UM_1_50340,1
ABIDE_UM_1_50341,0.5
ABIDE_UM_1_50344,0.5
ABIDE_UM_1_50345,0
ABIDE_UM_1_50346,0.5
ABIDE_UM_1_50347,1
ABIDE_UM_1_50348,1
ABIDE_UM_1_50349,0.5
ABIDE_UM_1_50350,0.5
ABIDE_UM_1_50351,1
ABIDE_UM_1_50353,0.5
ABIDE_UM_1_50355,0
ABIDE_UM_1_50356,1
ABIDE_UM_1_50357,0
ABIDE_UM_1_50358,0
ABIDE_UM_1_50360,1
ABIDE_UM_1_50361,1
ABIDE_UM_1_50362,1
ABIDE_UM_1_50365,0.5
ABIDE_UM_1_50368,1
ABIDE_UM_1_50369,0.5
ABIDE_UM_1_50372,0
ABIDE_UM_1_50374,1
ABIDE_UM_1_50375,0.5
ABIDE_UM_1_50379,0.5
ABIDE_UM_1_50380,0.5
ABIDE_UM_2_50385,1
ABIDE_UM_2_50386,1
ABIDE_UM_2_50388,1
ABIDE_UM_2_50391,1
ABIDE_UM_2_50397,1
ABIDE_UM_2_50399,1
ABIDE_UM_2_50402,0.5
ABIDE_UM_2_50404,0.5
ABIDE_UM_2_50405,1
ABIDE_UM_2_50413,0.5
ABIDE_UM_2_50414,0
ABIDE_UM_2_50418,0
ABIDE_UM_2_50419,0
ABIDE_UM_2_50424,0
ABIDE_UM_2_50426,1
ABIDE_UM_2_50427,1
ABIDEII_GU_1_28743,1
ABIDEII_GU_1_28748,1
ABIDEII_GU_1_28749,1
ABIDEII_GU_1_28760,1
ABIDEII_GU_1_28762,1
ABIDEII_GU_1_28763,1
ABIDEII_GU_1_28765,1
ABIDEII_GU_1_28778,1
ABIDEII_GU_1_28779,1
ABIDEII_GU_1_28787,1
ABIDEII_GU_1_28793,1
ABIDEII_GU_1_28795,1
ABIDEII_GU_1_28796,1
ABIDEII_GU_1_28797,1
ABIDEII_GU_1_28806,1
ABIDEII_GU_1_28808,1
ABIDEII_GU_1_28813,1
ABIDEII_GU_1_28826,1
ABIDEII_GU_1_28828,1
ABIDEII_GU_1_28829,1
ABIDEII_GU_1_28844,1
ABIDEII_GU_1_28845,1
ABIDEII_GU_1_28846,1
ABIDEII_GU_1_28847,1
ABIDEII_IP_1_29580,1
ABIDEII_IP_1_29581,1
ABIDEII_IP_1_29583,1
ABIDEII_IP_1_29584,0.5
ABIDEII_IP_1_29585,1
ABIDEII_IP_1_29586,1
ABIDEII_IP_1_29589,1
ABIDEII_IP_1_29590,1
ABIDEII_IP_1_29592,1
ABIDEII_IP_1_29593,1
ABIDEII_IP_1_29594,1
ABIDEII_IP_1_29595,1
ABIDEII_IP_1_29597,1
ABIDEII_IP_1_29598,1
ABIDEII_IP_1_29600,1
ABIDEII_IP_1_29602,1
ABIDEII_IP_1_29603,1
ABIDEII_IP_1_29604,1
ABIDEII_IP_1_29605,1
ABIDEII_IP_1_29606,1
ABIDEII_IP_1_29607,1
ABIDEII_IP_1_29608,1
ABIDEII_IP_1_29610,1
ABIDEII_IP_1_29611,1
ABIDEII_IP_1_29612,1
ABIDEII_IP_1_29616,1
ABIDEII_IP_1_29618,1
ABIDEII_IP_1_29619,1
ABIDEII_IP_1_29624,0.5
ABIDEII_IP_1_29625,1
ABIDEII_IP_1_29627,0.5
ABIDEII_IP_1_29631,1
ABIDEII_IP_1_29633,1
ABIDEII_IP_1_29635,1
ABIDEII_KKI_1_29275,1
ABIDEII_KKI_1_29277,1
ABIDEII_KKI_1_29278,1
ABIDEII_KKI_1_29283,1
ABIDEII_KKI_1_29284,1
ABIDEII_KKI_1_29286,1
ABIDEII_KKI_1_29289,1
ABIDEII_KKI_1_29294,1
ABIDEII_KKI_1_29296,1
ABIDEII_KKI_1_29297,1
ABIDEII_KKI_1_29298,1
ABIDEII_KKI_1_29299,1
ABIDEII_KKI_1_29300,1
ABIDEII_KKI_1_29301,1
ABIDEII_KKI_1_29304,1
ABIDEII_KKI_1_29305,1
ABIDEII_KKI_1_29306,1
ABIDEII_KKI_1_29309,0
ABIDEII_KKI_1_29312,1
ABIDEII_KKI_1_29313,1
ABIDEII_KKI_1_29316,1
ABIDEII_KKI_1_29317,1
ABIDEII_KKI_1_29319,1
ABIDEII_KKI_1_29321,1
ABIDEII_KKI_1_29322,1
ABIDEII_KKI_1_29323,1
ABIDEII_KKI_1_29325,1
ABIDEII_KKI_1_29329,1
ABIDEII_KKI_1_29332,1
ABIDEII_KKI_1_29333,1
ABIDEII_KKI_1_29334,0
ABIDEII_KKI_1_29336,1
ABIDEII_KKI_1_29337,1
ABIDEII_KKI_1_29339,1
